Rank,Paper Title,Score,Data preprocessing,Data augmentation,Imbalance,End-to-end,Ensemble,Multi-binary classification,Feature engineering,Hand Features,Temporal,Frequent,Demographic Features,DNN,CNN,RNN/Transformer,Attention,Backbone,Others
1,A Wide & Deep Transformer Neural Network for 12-Lead ECG Classification,0.533,Sampling rate 500Hz; Bandwidth 3 - 45 Hz; Value -1 - 1; Window size 15s 0-padding,No,No,Yes,Top 3 best models from 10 folds CV,Yes,Yes,No,No,No,"age,sex + 20 top identified features by random forest model",Yes,Yes,Transformer,Inherently in Transformer (location wise),ResNet + Transformer + hand features + ensemble,None
2,Adaptive lead weighted ResNet trained with different duration signals for classifying 12-lead ECGs,0.52,Sampling rate 257 Hz; Value -1 - 1; Window size 4096(16s) 0-padding,No,Thresholding,Yes,Ensemble 5 CV models,Yes,Yes,No,No,No,only age and sex,Yes,Yes,No,Squeeze-And-Excitation (channel wise),ResNet + SE,None
3,Classification of Cardiac Abnormalities from ECG Signals using SE-ResNet,0.514,Sampling rate 500Hz; Window size 30s 0-padding; Exclude 4 leads; Wavelet denoise,With external data: Hefei,Sign loss,Yes,Rule model for bradycardia,Yes,No,No,No,No,No,Yes,Yes,No,Squeeze-And-Excitation (channel wise),ResNet + SE,None
4,Combining Scatter Transform and Deep Neural Networks for Multilabel Electrocardiogram Signal Classification,0.485,Sampling rate 500Hz; Value -1 - 1; Window size 10240(20.48 s) ,Add noise and drift,No,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Transformer,Inherently in Transformer (location wise),ResNet + Transformer,None
5,Classification of 12-lead ECG Signals with Adversarial Multi-Source Domain Generalization,0.437,Sampling rate 250Hz; Value normalized,"Add or filter frequency components; Substitute, shuffle, invert, filt and scale lead data",No,Yes,No,Yes,Yes,No,No,No,only age and sex,Yes,Yes,Yes,No,ResNet + RNN,Domain-adversarial training
6,Bag of Tricks for Electrocardiogram Classification with Deep Neural Networks,0.42,Sampling rate 500Hz; Bandwith 50-60Hz; Value use mean and std; Exlude PTB and StPetersburg datasets,Manifold Mixup,"Weighted loss, Thresholding",Yes,Ensemble 10 CV models,Yes,No,No,No,No,No,Yes,Yes,No,No,ResNet,None
7,Automated Comprehensive Interpretation of 12-lead Electrocardiograms Using Pre-trained Exponentially Dilated Causal Convolutional Neural Networks,0.417,Sampling rate 500Hz,With external data: UMCU,Weighted loss (focal),Yes,No,Yes,No,No,No,No,No,Yes,Yes,No,No,ResNet,None
8,SE-ECGNet : Multi-scale SE-Net for Multi-lead ECG Data,0.411,Window sizw 10s,Random shift signals; Add Gaussian noise,Thresholding,Yes,No,Yes,Yes,No,No,No,only age and sex,Yes,Yes,No,Squeeze-And-Excitation (channel wise),ResNet + SE,None
9,Impact of Neural Architecture Design on Cardiac Abnormality Classification Using 12-lead ECG Signals,0.382,Window size 10s 0-padding,No,Thresholding,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,ResNet + BiLSTM,NAS
10,Automatic Detection and Classification of 12-lead ECGs Using a Deep Neural Network,0.359,Sampling rate 500Hz; Window size 10s 0-padding,No,No,Yes,No,Yes,Yes,No,No,No,only age and sex,Yes,Yes,No,Squeeze-And-Excitation (channel wise),ResNet + SE,None
